M,Q,T_outer,T_cosmo,S_outer,S_cosmo,Delta_total
0.11525015064608558,0.058770343423459895,0.3209829781375345,0.07810076946628307,0.1494721797883548,8.083086081955825,1.1922196990252
0.11505217236429337,0.06140510253327007,0.3214401924347466,0.07814845228994782,0.14658527967834975,8.086883422346457,1.1913092587445728
0.11446268368430991,0.06398069063367752,0.32305691330099146,0.07825123058393257,0.14241965008613236,8.095708288377732,1.186650022305514
0.11349492325102546,0.06643926556858559,0.3257828504919159,0.0784063486241799,0.13709358340703293,8.109337893455738,1.1783464839066085
0.11217062487740388,0.06872561304532931,0.3295502556818904,0.07860968239726072,0.1307680533243781,8.127430547454596,1.166579359990406
0.11051952944989882,0.07078838662865372,0.3342705786824529,0.07885589767860827,0.12363899305437039,8.14953690827658,1.151602059438428
0.10857871701226149,0.07258126087095332,0.33983151994884997,0.07913864658580198,0.11592792030895678,8.175114312942666,1.133735727517756
0.10639177402769788,0.07406397168195361,0.34609600582116984,0.07945078957002465,0.10787171223579675,8.203543402192093,1.1133628463414897
0.10400781452087196,0.07520322057337436,0.35290566343752416,0.07978462948477359,0.09971235273211228,8.234146205947141,1.090919402090126
0.10148037708279528,0.07597342247118916,0.36009262263127,0.08013214535171258,0.09168738307505207,8.266204882765786,1.0668856949285406
0.09886622250949523,0.07635728030122983,0.3675042248925649,0.08048521540258669,0.08402157117441063,8.298980389689449,1.0417759999055196
0.09622405907690526,0.07634617344418207,0.3750436154486325,0.08083582150959655,0.07691995957800543,8.331730480186595,1.0161275210047798
0.09361322407955495,0.07594035133611018,0.3827217750898829,0.08117622982882523,0.0705619681972185,8.363726567164566,0.9904894254075955
0.0910923512428585,0.07514892786666093,0.3906998160328974,0.08149914504637408,0.06509574332255777,8.394269127874775,0.9654130895720456
0.08871805393604873,0.07398967670075036,0.39927791541847146,0.08179783780977776,0.06063186366240788,8.422701454971621,0.94144464213535
0.08654365375795531,0.07248863212036762,0.4087818599268275,0.0820662466270843,0.05723651356710399,8.448421664868086,0.9191197823341906
0.08461798304884957,0.07067950435072796,0.4193475216205209,0.08229905668994755,0.05492653836458292,8.47089295711001,0.8989584652947862
0.08298428822135831,0.06860292250128947,0.43070562228256704,0.08249175875554644,0.05367077670797014,8.489652176396229,0.8814550076651813
0.0816792585392699,0.06630552212354567,0.4421249408443483,0.08264069147260221,0.053400620294199445,8.50431676398935,0.8670605764858301
0.08073220215576699,0.06383889787707936,0.4525795849880067,0.08274307044199533,0.05402753031069974,8.514590200723298,0.8561602297353819
0.08016438791549063,0.06125844482473981,0.46103932270848585,0.08279700694513882,0.055460955907235196,8.520266043236255,0.8490509616258901
0.07998856770214256,0.05862211437895588,0.46671876092883,0.08280151872688706,0.0576208498344418,8.52123064205194,0.8459264688829986
0.0802086900586687,0.05598911283794864,0.4691949482081005,0.08275653454516792,0.060442999641650605,8.51746460804949,0.8468703530782378
0.08081981151149709,0.05341857173991461,0.46840216184562067,0.08266289344514455,0.06387859643264757,8.509043065726102,0.8518562986106293
0.08180820759029689,0.050968219896157824,0.4645573168031209,0.08252233892033267,0.06789036004484755,8.496134700207847,0.860752900516685
0.08315168104999379,0.04869308692644393,0.4580649953456722,0.08233750732018577,0.07244704697689205,8.478999572790116,0.8733313410023715
0.08482006037303991,0.04664426741237705,0.44943046973681144,0.08211190908619734,0.07751742532016366,8.457985649475368,0.8892748859738475
0.08677587735665204,0.04486777342325032,0.4391918048170477,0.08184990068407783,0.08306430144469948,8.433523961274497,0.9081896980501831
0.08897520856786952,0.043403501184165735,0.42787241881588484,0.08155664449451816,0.08903896202196754,8.406122296994665,0.9296167017527459
0.09136866176916512,0.04228433509282948,0.4159513675841936,0.08123805348812807,0.0953763449617359,8.376357322268014,0.9530442935396302
0.09390248516161673,0.04153540920687404,0.40384746540580413,0.08090071731327082,0.10199127014344223,8.344865026436533,0.9779216641894042
0.09651977453442898,0.04117354278710956,0.39191346384130865,0.08055180655130109,0.10877607787580186,8.312329425478131,1.0036724574154459
0.0991617512108296,0.04120686257318624,0.38043704898992636,0.0801989524279727,0.11560000383342066,8.279469498029313,1.0297084589066454
0.10176908209043041,0.041634620274541984,0.3696460525259543,0.07985010028767339,0.12231054943356966,8.247024405319886,1.0554430060159241
0.10428321214274743,0.04244720937539524,0.35971588494361095,0.07951333668283302,0.12873698601860686,8.215737145120583,1.0803038296301892
0.10664767942694842,0.04362638087637901,0.3507777484038989,0.07919669199199988,0.13469596890604907,8.18633691214155,1.1037450797217794
0.10880938310531922,0.0451456531277241,0.34292665180180654,0.07890792296179445,0.1399990487312644,8.159520576045363,1.1252583359927524
0.11071977597360026,0.04697090655002196,0.3362286221931331,0.07865428227330143,0.14446167222240489,8.135933831775446,1.1443824567715275
0.1123359547265326,0.04906114988642066,0.33072678339531686,0.07844228486073757,0.14791308511105627,8.116152708903563,1.1607121667547595
0.11362162347360003,0.05136944077788195,0.32644616178196434,0.0782774828760053,0.15020640986083733,8.100666227404284,1.1739053235042576
0.11454790886648077,0.053843939987363504,0.3233971947349478,0.07816426248589607,0.1512280923887985,8.089861036272257,1.1836888321083237
0.11509400853220356,0.05642907559732414,0.3215779760156521,0.07810567575114036,0.1509059121664774,8.084008851624718,1.1898631969781839
0.11524765824959728,0.059066791035185834,0.3209752928664544,0.07810331945457596,0.14921483753748788,8.083257412943514,1.1923057102883785
0.1150054073772584,0.0616978488987913,0.3215645112292955,0.07815726992702389,0.1461801795102592,8.087625501682941,1.1909722795761795
0.11437269634751776,0.06426316130074815,0.32330836985159106,0.07826607892686668,0.1418777364472358,8.0970023300366,1.1858978942855423
0.11336373448605928,0.06670511685499383,0.3261547792564572,0.07842683095372976,0.13643090135353203,8.111151334891128,1.1771957245247204
0.11200118090109863,0.0689688745043238,0.33003382751450017,0.07863525764813907,0.13000498814840616,8.129718135444916,1.1650548371760578
0.11031563560866277,0.07100359513230603,0.3348544299415901,0.078885900788345,0.12279928750637577,8.152242165854613,1.1497365074083898
