M,Lambda,x,Delta,eta_C,T_b,T_c
1e-08,1.0005431906310949,1.155014113730512e-08,1.0879841609702762e-07,0.9999999768997181,3978873.57729738,0.0919131011781439
1e-08,1.000543190739834,1.1550141137932755e-08,1.0879841609111553e-07,0.9999999768997181,3978873.57729738,0.0919131011831385
1e-08,1.0005431908485733,1.1550141138560387e-08,1.0879841608520338e-07,0.9999999768997181,3978873.577297381,0.09191310118813305
1e-08,1.0005431909573126,1.1550141139188027e-08,1.0879841607929122e-07,0.9999999768997181,3978873.577297381,0.09191310119312755
1e-08,1.0005431910660518,1.1550141139815662e-08,1.0879841607337917e-07,0.9999999768997181,3978873.57729738,0.09191310119812221
1e-08,1.000543191174791,1.1550141140443295e-08,1.0879841606746707e-07,0.9999999768997181,3978873.57729738,0.09191310120311678
1e-08,1.0005431912835303,1.1550141141070936e-08,1.0879841606155491e-07,0.9999999768997181,3978873.57729738,0.09191310120811129
1e-08,1.0005431913922695,1.1550141141698566e-08,1.0879841605564284e-07,0.9999999768997181,3978873.57729738,0.09191310121310595
1e-08,1.0005431915010088,1.1550141142326203e-08,1.0879841604973073e-07,0.9999999768997181,3978873.57729738,0.09191310121810049
1e-08,1.000543191609748,1.155014114295384e-08,1.0879841604381852e-07,0.9999999768997181,3978873.5772973816,0.091913101223095
1e-08,1.0005431917184873,1.1550141143581471e-08,1.0879841603790644e-07,0.9999999768997181,3978873.5772973816,0.09191310122808963
1e-08,1.0005431918272265,1.1550141144209109e-08,1.0879841603199433e-07,0.9999999768997181,3978873.577297381,0.09191310123308417
1e-08,1.0005431919359657,1.1550141144836749e-08,1.0879841602608219e-07,0.9999999768997181,3978873.577297381,0.09191310123807869
1e-08,1.000543192044705,1.1550141145464384e-08,1.0879841602017008e-07,0.9999999768997181,3978873.577297381,0.09191310124307328
1e-08,1.0005431921534442,1.155014114609202e-08,1.0879841601425798e-07,0.9999999768997181,3978873.57729738,0.09191310124806785
1e-08,1.0005431922621835,1.1550141146719654e-08,1.0879841600834582e-07,0.9999999768997181,3978873.5772973816,0.09191310125306239
1e-08,1.0005431923709227,1.1550141147347288e-08,1.087984160024337e-07,0.9999999768997181,3978873.5772973816,0.09191310125805698
1e-08,1.000543192479662,1.1550141147974925e-08,1.0879841599652163e-07,0.9999999768997181,3978873.577297381,0.09191310126305158
1e-08,1.0005431925884012,1.1550141148602561e-08,1.0879841599060951e-07,0.9999999768997181,3978873.577297381,0.09191310126804614
1e-08,1.0005431926971404,1.15501411492302e-08,1.0879841598469736e-07,0.9999999768997181,3978873.577297381,0.09191310127304067
1e-08,1.0005431928058797,1.1550141149857831e-08,1.087984159787853e-07,0.9999999768997181,3978873.577297381,0.0919131012780353
1e-08,1.000543192914619,1.1550141150485471e-08,1.0879841597287313e-07,0.9999999768997181,3978873.577297381,0.09191310128302982
1e-08,1.0005431930233581,1.1550141151113108e-08,1.0879841596696101e-07,0.9999999768997181,3978873.577297381,0.09191310128802437
1e-08,1.0005431931320974,1.1550141151740739e-08,1.0879841596104893e-07,0.9999999768997181,3978873.577297381,0.091913101293019
1e-08,1.0005431932408366,1.1550141152368377e-08,1.0879841595513684e-07,0.9999999768997181,3978873.57729738,0.09191310129801357
1e-08,1.0005431933495759,1.1550141152996015e-08,1.0879841594922471e-07,0.9999999768997181,3978873.57729738,0.0919131013030081
1e-08,1.000543193458315,1.1550141153623647e-08,1.0879841594331262e-07,0.9999999768997181,3978873.57729738,0.09191310130800273
1e-08,1.0005431935670543,1.1550141154251284e-08,1.0879841593740045e-07,0.9999999768997181,3978873.577297381,0.09191310131299724
1e-08,1.0005431936757936,1.1550141154878923e-08,1.087984159314883e-07,0.9999999768997181,3978873.577297381,0.09191310131799174
1e-08,1.0005431937845328,1.1550141155506553e-08,1.0879841592557624e-07,0.9999999768997181,3978873.577297381,0.09191310132298641
1e-08,1.000543193893272,1.1550141156134193e-08,1.0879841591966413e-07,0.9999999768997181,3978873.57729738,0.09191310132798095
1e-08,1.0005431940020113,1.1550141156761831e-08,1.0879841591375199e-07,0.9999999768997181,3978873.57729738,0.09191310133297549
1e-08,1.0005431941107505,1.1550141157389461e-08,1.0879841590783992e-07,0.9999999768997181,3978873.57729738,0.09191310133797015
1e-08,1.0005431942194898,1.1550141158017101e-08,1.0879841590192769e-07,0.9999999768997181,3978873.5772973816,0.09191310134296457
1e-08,1.000543194328229,1.1550141158644738e-08,1.0879841589601561e-07,0.9999999768997181,3978873.577297381,0.09191310134795917
1e-08,1.0005431944369683,1.1550141159272377e-08,1.087984158901035e-07,0.9999999768997181,3978873.57729738,0.09191310135295372
1e-08,1.0005431945457075,1.1550141159900009e-08,1.0879841588419137e-07,0.9999999768997181,3978873.577297381,0.0919131013579483
1e-08,1.0005431946544467,1.1550141160527647e-08,1.0879841587827927e-07,0.9999999768997181,3978873.57729738,0.09191310136294288
