x,Delta,eta_C,M,T_ratio
9.999597933276005435e-01,3.141592651896850441e+00,2.680462789071950974e-05,3.333333331312531289e-01,9.999731953721092692e-01
9.999606345349445480e-01,3.141592651966950367e+00,2.624381555701720979e-05,3.333333331396207688e-01,9.999737561844428413e-01
9.999614581428173388e-01,3.141592652034146838e+00,2.569473651210308065e-05,3.333333331476416306e-01,9.999743052634879614e-01
9.999622645194158332e-01,3.141592652098562422e+00,2.515714527858922767e-05,3.333333331553308132e-01,9.999748428547213797e-01
9.999630540252334443e-01,3.141592652160309918e+00,2.463080151535200680e-05,3.333333331627012508e-01,9.999753691984847315e-01
9.999638270132233941e-01,3.141592652219500792e+00,2.411546990845763356e-05,3.333333331697667656e-01,9.999758845300914523e-01
9.999645838289547006e-01,3.141592652276240738e+00,2.361092006738359117e-05,3.333333331765395702e-01,9.999763890799324706e-01
9.999653248107674974e-01,3.141592652330631452e+00,2.311692642128042861e-05,3.333333331830318769e-01,9.999768830735786818e-01
9.999660502899238024e-01,3.141592652382769302e+00,2.263326811845655623e-05,3.333333331892554541e-01,9.999773667318815340e-01
9.999667605907559542e-01,3.141592652432749766e+00,2.215972892745757757e-05,3.333333331952214040e-01,9.999778402710726155e-01
9.999674560308113858e-01,3.141592652480659886e+00,2.169609714051710334e-05,3.333333332009402739e-01,9.999783039028593556e-01
9.999681369209940662e-01,3.141592652526586260e+00,2.124216547923101333e-05,3.333333332064222776e-01,9.999787578345208372e-01
9.999688035657043894e-01,3.141592652570609712e+00,2.079773100127064827e-05,3.333333332116772962e-01,9.999792022689988347e-01
9.999694562629743988e-01,3.141592652612811509e+00,2.036259501028141143e-05,3.333333332167147112e-01,9.999796374049896297e-01
9.999700953046017915e-01,3.141592652653265816e+00,1.993656296645001459e-05,3.333333332215436262e-01,9.999800634370336061e-01
9.999707209762795923e-01,3.141592652692045018e+00,1.951944440003486892e-05,3.333333332261725346e-01,9.999804805555999598e-01
9.999713335577240514e-01,3.141592652729217505e+00,1.911105282626806946e-05,3.333333332306096519e-01,9.999808889471737405e-01
9.999719333227998774e-01,3.141592652764852556e+00,1.871120566155492579e-05,3.333333332348633049e-01,9.999812887943384521e-01
9.999725205396423622e-01,3.141592652799010121e+00,1.831972414226619602e-05,3.333333332389405435e-01,9.999816802758576539e-01
9.999730954707773956e-01,3.141592652831755039e+00,1.793643324471665490e-05,3.333333332428491946e-01,9.999820635667552304e-01
9.999736583732389272e-01,3.141592652863143265e+00,1.756116160666294765e-05,3.333333332465959198e-01,9.999824388383934393e-01
9.999742094986834307e-01,3.141592652893231197e+00,1.719374145120887741e-05,3.333333332501873802e-01,9.999828062585487398e-01
9.999747490935027017e-01,3.141592652922074347e+00,1.683400851141565448e-05,3.333333332536302929e-01,9.999831659914885096e-01
9.999752773989345478e-01,3.141592652949722453e+00,1.648180195665324219e-05,3.333333332569305418e-01,9.999835181980434307e-01
9.999757946511687035e-01,3.141592652976226141e+00,1.613696432180303583e-05,3.333333332600941223e-01,9.999838630356783220e-01
9.999763010814550768e-01,3.141592653001632041e+00,1.579934143524080737e-05,3.333333332631268076e-01,9.999842006585647480e-01
9.999767969162045578e-01,3.141592653025985449e+00,1.546878235155827101e-05,3.333333332660337045e-01,9.999845312176482981e-01
9.999772823770922692e-01,3.141592653049330774e+00,1.514513928273174418e-05,3.333333332688203643e-01,9.999848548607171983e-01
9.999777576811552660e-01,3.141592653071710206e+00,1.482826753295600325e-05,3.333333332714917274e-01,9.999851717324671485e-01
9.999782230408902350e-01,3.141592653093163712e+00,1.451802543347951466e-05,3.333333332740525679e-01,9.999854819745664924e-01
9.999786786643484193e-01,3.141592653113727263e+00,1.421427427947636877e-05,3.333333332765071599e-01,9.999857857257204996e-01
9.999791247552279883e-01,3.141592653133440383e+00,1.391687826821475679e-05,3.333333332788602776e-01,9.999860831217317614e-01
9.999795615129660753e-01,3.141592653152336378e+00,1.362570443789275890e-05,3.333333332811157512e-01,9.999863742955620305e-01
9.999799891328278179e-01,3.141592653170449889e+00,1.334062260814062237e-05,3.333333332832779661e-01,9.999866593773918400e-01
9.999804078059921775e-01,3.141592653187814221e+00,1.306150532289268193e-05,3.333333332853506970e-01,9.999869384946772355e-01
9.999808177196390924e-01,3.141592653204458685e+00,1.278822779222404851e-05,3.333333332873374411e-01,9.999872117722078402e-01
9.999812190570328552e-01,3.141592653220414366e+00,1.252066783677887987e-05,3.333333332892420287e-01,9.999874793321632538e-01
9.999816119976028261e-01,3.141592653235708799e+00,1.225870583397601947e-05,3.333333332910676794e-01,9.999877412941658994e-01
9.999819967170252566e-01,3.141592653250371292e+00,1.200222466340131769e-05,3.333333332928178350e-01,9.999879977753366456e-01
9.999823733873007825e-01,3.141592653264425827e+00,1.175110965516153596e-05,3.333333332944954375e-01,9.999882488903448774e-01
9.999827421768318070e-01,3.141592653277897718e+00,1.150524853835007286e-05,3.333333332961035400e-01,9.999884947514616762e-01
9.999831032504979955e-01,3.141592653290812720e+00,1.126453139058674654e-05,3.333333332976451957e-01,9.999887354686095575e-01
9.999834567697282184e-01,3.141592653303193039e+00,1.102885059025995621e-05,3.333333332991230136e-01,9.999889711494097666e-01
9.999838028925753797e-01,3.141592653315060435e+00,1.079810076632700345e-05,3.333333333005395471e-01,9.999892018992336817e-01
9.999841417737849181e-01,3.141592653326435336e+00,1.057217875292622987e-05,3.333333333018972944e-01,9.999894278212472232e-01
9.999844735648655281e-01,3.141592653337339947e+00,1.035098354217637883e-05,3.333333333031988643e-01,9.999896490164578156e-01
9.999847984141554402e-01,3.141592653347794251e+00,1.013441623975227034e-05,3.333333333044468660e-01,9.999898655837603512e-01
9.999851164668903669e-01,3.141592653357815124e+00,9.922380019942938793e-06,3.333333333056429648e-01,9.999900776199800445e-01
9.999854278652664519e-01,3.141592653367420329e+00,9.714780083374980214e-06,3.333333333067894921e-01,9.999902852199166192e-01
9.999857327485054403e-01,3.141592653376628075e+00,9.511523613737235782e-06,3.333333333078886129e-01,9.999904884763861634e-01
9.999860312529164075e-01,3.141592653385454792e+00,9.312519736578481793e-06,3.333333333089422146e-01,9.999906874802634293e-01
9.999863235119567095e-01,3.141592653393915135e+00,9.117679478623766346e-06,3.333333333099521290e-01,9.999908823205214681e-01
9.999866096562916029e-01,3.141592653402025981e+00,8.926915728127449991e-06,3.333333333109202434e-01,9.999910730842718198e-01
9.999868898138523088e-01,3.141592653409801983e+00,8.740143196077946477e-06,3.333333333118484454e-01,9.999912598568039268e-01
9.999871641098941888e-01,3.141592653417253800e+00,8.557278377365891997e-06,3.333333333127380116e-01,9.999914427216225477e-01
9.999874326670512570e-01,3.141592653424398751e+00,8.378239514617349452e-06,3.333333333135908294e-01,9.999916217604855051e-01
9.999876956053924681e-01,3.141592653431247051e+00,8.202946560510098671e-06,3.333333333144082866e-01,9.999917970534395462e-01
9.999879530424745644e-01,3.141592653437812022e+00,8.031321142569878169e-06,3.333333333151919375e-01,9.999919686788574236e-01
9.999882050933948108e-01,3.141592653444105654e+00,7.863286528004031879e-06,3.333333333159431699e-01,9.999921367134719796e-01
9.999884518708427317e-01,3.141592653450137718e+00,7.698767589312672835e-06,3.333333333166631496e-01,9.999923012324106741e-01
9.999886934851498488e-01,3.141592653455919759e+00,7.537690771010468835e-06,3.333333333173533752e-01,9.999924623092290021e-01
9.999889300443391971e-01,3.141592653461464213e+00,7.379984056644829495e-06,3.333333333180152347e-01,9.999926200159434675e-01
9.999891616541743966e-01,3.141592653466777296e+00,7.225576936036464864e-06,3.333333333186493941e-01,9.999927744230640014e-01
9.999893884182058379e-01,3.141592653471870555e+00,7.074400374592703958e-06,3.333333333192573522e-01,9.999929255996253818e-01
9.999896104378178663e-01,3.141592653476754204e+00,6.926386781843962124e-06,3.333333333198402748e-01,9.999930736132182085e-01
9.999898278122733020e-01,3.141592653481434017e+00,6.781469981571823948e-06,3.333333333203988280e-01,9.999932185300184351e-01
9.999900406387587370e-01,3.141592653485921982e+00,6.639585181900404765e-06,3.333333333209345661e-01,9.999933604148180111e-01
9.999902490124268351e-01,3.141592653490222098e+00,6.500668946831285841e-06,3.333333333214478778e-01,9.999934993310533038e-01
9.999904530264400737e-01,3.141592653494345022e+00,6.364659167186579362e-06,3.333333333219400396e-01,9.999936353408327427e-01
9.999906527720116012e-01,3.141592653498297416e+00,6.231495033513653117e-06,3.333333333224117734e-01,9.999937685049665737e-01
9.999908483384462032e-01,3.141592653502085941e+00,6.101117008471980933e-06,3.333333333228640227e-01,9.999938988829916164e-01
9.999910398131800493e-01,3.141592653505717703e+00,5.973466800552507222e-06,3.333333333232975648e-01,9.999940265331994649e-01
9.999912272818203274e-01,3.141592653509199806e+00,5.848487337686194212e-06,3.333333333237131768e-01,9.999941515126623548e-01
9.999914108281828806e-01,3.141592653512536248e+00,5.726122741889003769e-06,3.333333333241114693e-01,9.999942738772579220e-01
9.999915905343301770e-01,3.141592653515735023e+00,5.606318304277151212e-06,3.333333333244932195e-01,9.999943936816958479e-01
9.999917664806080575e-01,3.141592653518801015e+00,5.489020460304596840e-06,3.333333333248592045e-01,9.999945109795397302e-01
9.999919387456809305e-01,3.141592653521741330e+00,5.374176766518043590e-06,3.333333333252102570e-01,9.999946258232335072e-01
9.999921074065670767e-01,3.141592653524559076e+00,5.261735876756989183e-06,3.333333333255465436e-01,9.999947382641232174e-01
9.999922725386743982e-01,3.141592653527260026e+00,5.151647518612999166e-06,3.333333333258689524e-01,9.999948483524813136e-01
9.999924342158323931e-01,3.141592653529849066e+00,5.043862471887567735e-06,3.333333333261780385e-01,9.999949561375280904e-01
9.999925925103263502e-01,3.141592653532332413e+00,4.938332545902882498e-06,3.333333333264744680e-01,9.999950616674541104e-01
9.999927474929288795e-01,3.141592653534711843e+00,4.835010558441086320e-06,3.333333333267584631e-01,9.999951649894415207e-01
9.999928992329317756e-01,3.141592653536991353e+00,4.733850314498636095e-06,3.333333333270305787e-01,9.999952661496854800e-01
9.999930477981776589e-01,3.141592653539178492e+00,4.634806585262850135e-06,3.333333333272916477e-01,9.999953651934146981e-01
9.999931932550892855e-01,3.141592653541274593e+00,4.537835088457865570e-06,3.333333333275418364e-01,9.999954621649116415e-01
9.999933356686998565e-01,3.141592653543283209e+00,4.442892468246630214e-06,3.333333333277816446e-01,9.999955571075317406e-01
9.999934751026822166e-01,3.141592653545207892e+00,4.349936275688136383e-06,3.333333333280113497e-01,9.999956500637243728e-01
9.999936116193767210e-01,3.141592653547054415e+00,4.258924950156956137e-06,3.333333333282317290e-01,9.999957410750497377e-01
9.999937452798193238e-01,3.141592653548824554e+00,4.169817800651879586e-06,3.333333333284430600e-01,9.999958301821992857e-01
9.999938761437693335e-01,3.141592653550520975e+00,4.082574987289682403e-06,3.333333333286455091e-01,9.999959174250125926e-01
9.999940042697357256e-01,3.141592653552147230e+00,3.997157503835218672e-06,3.333333333288396871e-01,9.999960028424961234e-01
9.999941297150032327e-01,3.141592653553705539e+00,3.913527160120587150e-06,3.333333333290257050e-01,9.999960864728399956e-01
9.999942525356577683e-01,3.141592653555200787e+00,3.831646565204542485e-06,3.333333333292041734e-01,9.999961683534347445e-01
9.999943727866124066e-01,3.141592653556632975e+00,3.751479110124907952e-06,3.333333333293750922e-01,9.999962485208898633e-01
9.999944905216310298e-01,3.141592653558005210e+00,3.672988952020363492e-06,3.333333333295389056e-01,9.999963270110480140e-01
9.999946057933528643e-01,3.141592653559321935e+00,3.596140997808218645e-06,3.333333333296960577e-01,9.999964038590022364e-01
9.999947186533155730e-01,3.141592653560584036e+00,3.520900888824467858e-06,3.333333333298467704e-01,9.999964790991112684e-01
9.999948291519787924e-01,3.141592653561792847e+00,3.447234984982816629e-06,3.333333333299909884e-01,9.999965527650150898e-01
9.999949373387460039e-01,3.141592653562953252e+00,3.375110350525108915e-06,3.333333333301296553e-01,9.999966248896494658e-01
9.999950432619876262e-01,3.141592653564064364e+00,3.304494738180502351e-06,3.333333333302622159e-01,9.999966955052619344e-01
9.999951469690614436e-01,3.141592653565128845e+00,3.235356575915234026e-06,3.333333333303892254e-01,9.999967646434240187e-01
9.999952485063351437e-01,3.141592653566151139e+00,3.167664951758060385e-06,3.333333333305112389e-01,9.999968323350481025e-01
9.999953479192057459e-01,3.141592653567129467e+00,3.101389600809206188e-06,3.333333333306281454e-01,9.999968986103991986e-01
9.999954452521204740e-01,3.141592653568067384e+00,3.036500891435199614e-06,3.333333333307400004e-01,9.999969634991087153e-01
9.999955405485969617e-01,3.141592653568967553e+00,2.972969811648811595e-06,3.333333333308474145e-01,9.999970270301883346e-01
9.999956338512420162e-01,3.141592653569829530e+00,2.910767956784304183e-06,3.333333333309502766e-01,9.999970892320432236e-01
9.999957252017717124e-01,3.141592653570655536e+00,2.849867515951485689e-06,3.333333333310489199e-01,9.999971501324840251e-01
9.999958146410284909e-01,3.141592653571448235e+00,2.790241260710272008e-06,3.333333333311435109e-01,9.999972097587392916e-01
9.999959022090005867e-01,3.141592653572207627e+00,2.731862532042942538e-06,3.333333333312341606e-01,9.999972681374679206e-01
9.999959879448396816e-01,3.141592653572936378e+00,2.674705228732729134e-06,3.333333333313212021e-01,9.999973252947713664e-01
9.999960718868781129e-01,3.141592653573635374e+00,2.618743795705445631e-06,3.333333333314046354e-01,9.999973812562041875e-01
9.999961540726464149e-01,3.141592653574302840e+00,2.563953212519186765e-06,3.333333333314842939e-01,9.999974360467874801e-01
9.999962345388901941e-01,3.141592653574945437e+00,2.510308981965089216e-06,3.333333333315610103e-01,9.999974896910179822e-01
9.999963133215856725e-01,3.141592653575560057e+00,2.457787119741350306e-06,3.333333333316343405e-01,9.999975422128802860e-01
9.999963904559565631e-01,3.141592653576148031e+00,2.406364143276113262e-06,3.333333333317045066e-01,9.999975936358568296e-01
9.999964659764898345e-01,3.141592653576714245e+00,2.356017061142504323e-06,3.333333333317721192e-01,9.999976439829388886e-01
9.999965399169503666e-01,3.141592653577255589e+00,2.306723363324877814e-06,3.333333333318367342e-01,9.999976932766366788e-01
9.999966123103976035e-01,3.141592653577774730e+00,2.258461010078810777e-06,3.333333333318986846e-01,9.999977415389897928e-01
9.999966831891985430e-01,3.141592653578272110e+00,2.211208423344644851e-06,3.333333333319580816e-01,9.999977887915766361e-01
9.999967525850428363e-01,3.141592653578749506e+00,2.164944476532729295e-06,3.333333333320150915e-01,9.999978350555233098e-01
9.999968205289573309e-01,3.141592653579206473e+00,2.119648485011833065e-06,3.333333333320696590e-01,9.999978803515149339e-01
9.999968870513203933e-01,3.141592653579644345e+00,2.075300196449556944e-06,3.333333333321218950e-01,9.999979246998036420e-01
9.999969521818738993e-01,3.141592653580064454e+00,2.031879782855115875e-06,3.333333333321720215e-01,9.999979681202172399e-01
9.999970159497378885e-01,3.141592653580468131e+00,1.989367830808781305e-06,3.333333333322202607e-01,9.999980106321691986e-01
9.999970783834228882e-01,3.141592653580853156e+00,1.947745333171643622e-06,3.333333333322661685e-01,9.999980522546668693e-01
9.999971395108432359e-01,3.141592653581224415e+00,1.906993680351311005e-06,3.333333333323104664e-01,9.999980930063195883e-01
9.999971993593291808e-01,3.141592653581579242e+00,1.867094652048729765e-06,3.333333333323528769e-01,9.999981329053480028e-01
9.999972579556386520e-01,3.141592653581918970e+00,1.828030409671155231e-06,3.333333333323934000e-01,9.999981719695903992e-01
9.999973153259705816e-01,3.141592653582244488e+00,1.789783487116819528e-06,3.333333333324322578e-01,9.999982102165128062e-01
9.999973714959754512e-01,3.141592653582558015e+00,1.752336784039117425e-06,3.333333333324696723e-01,9.999982476632160999e-01
9.999974264907666166e-01,3.141592653582856887e+00,1.715673558148616747e-06,3.333333333325054215e-01,9.999982843264418886e-01
9.999974803349324093e-01,3.141592653583145101e+00,1.679777417145015135e-06,3.333333333325398384e-01,9.999983202225829482e-01
9.999975330525469053e-01,3.141592653583419548e+00,1.644632311611301239e-06,3.333333333325725900e-01,9.999983553676883297e-01
9.999975846671801394e-01,3.141592653583683781e+00,1.610222528129988681e-06,3.333333333326040648e-01,9.999983897774719077e-01
9.999976352019088743e-01,3.141592653583936912e+00,1.576532682103294858e-06,3.333333333326342629e-01,9.999984234673179317e-01
9.999976846793272589e-01,3.141592653584178940e+00,1.543547710795387845e-06,3.333333333326631842e-01,9.999984564522891306e-01
9.999977331215572640e-01,3.141592653584411199e+00,1.511252866115589666e-06,3.333333333326908843e-01,9.999984887471338180e-01
9.999977805502571204e-01,3.141592653584634576e+00,1.479633709251974914e-06,3.333333333327176407e-01,9.999985203662906663e-01
9.999978269866326430e-01,3.141592653584848183e+00,1.448676102899488130e-06,3.333333333327431203e-01,9.999985513238971446e-01
9.999978724514453354e-01,3.141592653585052020e+00,1.418366206041597222e-06,3.333333333327673231e-01,9.999985816337939593e-01
9.999979169650228261e-01,3.141592653585249639e+00,1.388690466881581594e-06,3.333333333327909709e-01,9.999986113095330476e-01
9.999979605472669730e-01,3.141592653585437933e+00,1.359635617513183805e-06,3.333333333328135084e-01,9.999986403643824628e-01
9.999980032176634115e-01,3.141592653585616901e+00,1.331188667407035468e-06,3.333333333328348247e-01,9.999986688113325917e-01
9.999980449952909911e-01,3.141592653585789652e+00,1.303336897341179355e-06,3.333333333328554748e-01,9.999986966631025931e-01
9.999980858988276600e-01,3.141592653585955297e+00,1.276067855330013055e-06,3.333333333328752368e-01,9.999987239321446175e-01
9.999981259465618999e-01,3.141592653586114281e+00,1.249369348963509547e-06,3.333333333328941106e-01,9.999987506306510232e-01
9.999981651563992768e-01,3.141592653586266604e+00,1.223229441225153811e-06,3.333333333329123183e-01,9.999987767705587061e-01
9.999982035458707674e-01,3.141592653586412709e+00,1.197636444755576299e-06,3.333333333329298598e-01,9.999988023635552059e-01
9.999982411321398645e-01,3.141592653586553041e+00,1.172578917152401421e-06,3.333333333329465686e-01,9.999988274210829253e-01
9.999982779320120141e-01,3.141592653586686268e+00,1.148045654826813077e-06,3.333333333329623893e-01,9.999988519543452359e-01
9.999983139619403882e-01,3.141592653586816386e+00,1.124025688932549992e-06,3.333333333329780435e-01,9.999988759743111411e-01
9.999983492380337680e-01,3.141592653586939843e+00,1.100508280258696627e-06,3.333333333329927539e-01,9.999988994917197171e-01
9.999983837760645367e-01,3.141592653587057082e+00,1.077482913900436697e-06,3.333333333330067427e-01,9.999989225170862195e-01
9.999984175914748974e-01,3.141592653587170769e+00,1.054939294966024429e-06,3.333333333330202874e-01,9.999989450607050800e-01
9.999984506993837563e-01,3.141592653587279571e+00,1.032867344209747815e-06,3.333333333330332771e-01,9.999989671326557916e-01
9.999984831145931619e-01,3.141592653587383044e+00,1.011257193553874843e-06,3.333333333330456560e-01,9.999989887428065716e-01
9.999985148515966316e-01,3.141592653587483852e+00,9.900991806484116043e-07,3.333333333330577020e-01,9.999990099008193578e-01
9.999985459245839259e-01,3.141592653587579331e+00,9.693838456513155428e-07,3.333333333330690817e-01,9.999990306161543607e-01
9.999985763474475986e-01,3.141592653587670814e+00,9.491019267874690019e-07,3.333333333330800174e-01,9.999990508980731718e-01
9.999986061337902132e-01,3.141592653587757855e+00,9.292443557226175683e-07,3.333333333330903980e-01,9.999990707556440928e-01
9.999986352969287839e-01,3.141592653587842232e+00,9.098022544176164437e-07,3.333333333331003900e-01,9.999990901977454660e-01
9.999986638499028802e-01,3.141592653587923500e+00,8.907669297622300257e-07,3.333333333331101600e-01,9.999991092330702269e-01
9.999986918054782903e-01,3.141592653588000772e+00,8.721298712805594642e-07,3.333333333331193749e-01,9.999991278701286790e-01
9.999987191761537941e-01,3.141592653588074047e+00,8.538827464309883386e-07,3.333333333331281456e-01,9.999991461172534901e-01
9.999987459741673801e-01,3.141592653588145989e+00,8.360173964612424955e-07,3.333333333331366943e-01,9.999991639826034673e-01
9.999987722115002420e-01,3.141592653588214379e+00,8.185258340028097011e-07,3.333333333331448545e-01,9.999991814741661100e-01
9.999987978998831073e-01,3.141592653588278772e+00,8.014002384819182101e-07,3.333333333331525150e-01,9.999991985997614963e-01
9.999988230508017883e-01,3.141592653588342277e+00,7.846329527147617317e-07,3.333333333331601755e-01,9.999992153670471673e-01
9.999988476755009570e-01,3.141592653588402229e+00,7.682164802428756555e-07,3.333333333331673365e-01,9.999992317835196820e-01
9.999988717849909170e-01,3.141592653588459516e+00,7.521434808181434407e-07,3.333333333331741644e-01,9.999992478565190579e-01
9.999988953900507127e-01,3.141592653588514139e+00,7.364067684413234785e-07,3.333333333331806037e-01,9.999992635932316576e-01
9.999989185012342352e-01,3.141592653588568318e+00,7.209993071431210246e-07,3.333333333331870985e-01,9.999992790006928534e-01
9.999989411288744412e-01,3.141592653588618500e+00,7.059142082825721673e-07,3.333333333331930937e-01,9.999992940857916901e-01
9.999989632830883490e-01,3.141592653588668238e+00,6.911447271792947213e-07,3.333333333331990334e-01,9.999993088552728837e-01
9.999989849737817016e-01,3.141592653588713979e+00,6.766842600047941963e-07,3.333333333332045290e-01,9.999993233157399297e-01
9.999990000000000823e-01,3.141592653588745954e+00,6.666667777303812457e-07,3.333333333332083592e-01,9.999993333332221068e-01
9.999990000000000823e-01,3.141592653588745954e+00,6.666667777303812457e-07,3.333333333332083592e-01,9.999993333332221068e-01
9.999990000000000823e-01,3.141592653588745954e+00,6.666667777303812457e-07,3.333333333332083592e-01,9.999993333332221068e-01
9.999990000000000823e-01,3.141592653588745954e+00,6.666667777303812457e-07,3.333333333332083592e-01,9.999993333332221068e-01
9.999990000000000823e-01,3.141592653588745954e+00,6.666667777303812457e-07,3.333333333332083592e-01,9.999993333332221068e-01
9.999990000000000823e-01,3.141592653588745954e+00,6.666667777303812457e-07,3.333333333332083592e-01,9.999993333332221068e-01
9.999990000000000823e-01,3.141592653588745954e+00,6.666667777303812457e-07,3.333333333332083592e-01,9.999993333332221068e-01
9.999990000000000823e-01,3.141592653588745954e+00,6.666667777303812457e-07,3.333333333332083592e-01,9.999993333332221068e-01
9.999990000000000823e-01,3.141592653588745954e+00,6.666667777303812457e-07,3.333333333332083592e-01,9.999993333332221068e-01
9.999990000000000823e-01,3.141592653588745954e+00,6.666667777303812457e-07,3.333333333332083592e-01,9.999993333332221068e-01
9.999990000000000823e-01,3.141592653588745954e+00,6.666667777303812457e-07,3.333333333332083592e-01,9.999993333332221068e-01
9.999990000000000823e-01,3.141592653588745954e+00,6.666667777303812457e-07,3.333333333332083592e-01,9.999993333332221068e-01
9.999990000000000823e-01,3.141592653588745954e+00,6.666667777303812457e-07,3.333333333332083592e-01,9.999993333332221068e-01
9.999990000000000823e-01,3.141592653588745954e+00,6.666667777303812457e-07,3.333333333332083592e-01,9.999993333332221068e-01
9.999990000000000823e-01,3.141592653588745954e+00,6.666667777303812457e-07,3.333333333332083592e-01,9.999993333332221068e-01
9.999990000000000823e-01,3.141592653588745954e+00,6.666667777303812457e-07,3.333333333332083592e-01,9.999993333332221068e-01
9.999990000000000823e-01,3.141592653588745954e+00,6.666667777303812457e-07,3.333333333332083592e-01,9.999993333332221068e-01
9.999990000000000823e-01,3.141592653588745954e+00,6.666667777303812457e-07,3.333333333332083592e-01,9.999993333332221068e-01
9.999990000000000823e-01,3.141592653588745954e+00,6.666667777303812457e-07,3.333333333332083592e-01,9.999993333332221068e-01
9.999990000000000823e-01,3.141592653588745954e+00,6.666667777303812457e-07,3.333333333332083592e-01,9.999993333332221068e-01
9.999990000000000823e-01,3.141592653588745954e+00,6.666667777303812457e-07,3.333333333332083592e-01,9.999993333332221068e-01
9.999990000000000823e-01,3.141592653588745954e+00,6.666667777303812457e-07,3.333333333332083592e-01,9.999993333332221068e-01
9.999990000000000823e-01,3.141592653588745954e+00,6.666667777303812457e-07,3.333333333332083592e-01,9.999993333332221068e-01
9.999990000000000823e-01,3.141592653588745954e+00,6.666667777303812457e-07,3.333333333332083592e-01,9.999993333332221068e-01
9.999990000000000823e-01,3.141592653588745954e+00,6.666667777303812457e-07,3.333333333332083592e-01,9.999993333332221068e-01
9.999990000000000823e-01,3.141592653588745954e+00,6.666667777303812457e-07,3.333333333332083592e-01,9.999993333332221068e-01
9.999990000000000823e-01,3.141592653588745954e+00,6.666667777303812457e-07,3.333333333332083592e-01,9.999993333332221068e-01
9.999990000000000823e-01,3.141592653588745954e+00,6.666667777303812457e-07,3.333333333332083592e-01,9.999993333332221068e-01
9.999990000000000823e-01,3.141592653588745954e+00,6.666667777303812457e-07,3.333333333332083592e-01,9.999993333332221068e-01
9.999990000000000823e-01,3.141592653588745954e+00,6.666667777303812457e-07,3.333333333332083592e-01,9.999993333332221068e-01
9.999990000000000823e-01,3.141592653588745954e+00,6.666667777303812457e-07,3.333333333332083592e-01,9.999993333332221068e-01
9.999990000000000823e-01,3.141592653588745954e+00,6.666667777303812457e-07,3.333333333332083592e-01,9.999993333332221068e-01
9.999990000000000823e-01,3.141592653588745954e+00,6.666667777303812457e-07,3.333333333332083592e-01,9.999993333332221068e-01
9.999990000000000823e-01,3.141592653588745954e+00,6.666667777303812457e-07,3.333333333332083592e-01,9.999993333332221068e-01
9.999990000000000823e-01,3.141592653588745954e+00,6.666667777303812457e-07,3.333333333332083592e-01,9.999993333332221068e-01
9.999990000000000823e-01,3.141592653588745954e+00,6.666667777303812457e-07,3.333333333332083592e-01,9.999993333332221068e-01
9.999990000000000823e-01,3.141592653588745954e+00,6.666667777303812457e-07,3.333333333332083592e-01,9.999993333332221068e-01
9.999990000000000823e-01,3.141592653588745954e+00,6.666667777303812457e-07,3.333333333332083592e-01,9.999993333332221068e-01
9.999990000000000823e-01,3.141592653588745954e+00,6.666667777303812457e-07,3.333333333332083592e-01,9.999993333332221068e-01
9.999990000000000823e-01,3.141592653588745954e+00,6.666667777303812457e-07,3.333333333332083592e-01,9.999993333332221068e-01
9.999990000000000823e-01,3.141592653588745954e+00,6.666667777303812457e-07,3.333333333332083592e-01,9.999993333332221068e-01
9.999990000000000823e-01,3.141592653588745954e+00,6.666667777303812457e-07,3.333333333332083592e-01,9.999993333332221068e-01
9.999990000000000823e-01,3.141592653588745954e+00,6.666667777303812457e-07,3.333333333332083592e-01,9.999993333332221068e-01
9.999990000000000823e-01,3.141592653588745954e+00,6.666667777303812457e-07,3.333333333332083592e-01,9.999993333332221068e-01
9.999990000000000823e-01,3.141592653588745954e+00,6.666667777303812457e-07,3.333333333332083592e-01,9.999993333332221068e-01
9.999990000000000823e-01,3.141592653588745954e+00,6.666667777303812457e-07,3.333333333332083592e-01,9.999993333332221068e-01
9.999990000000000823e-01,3.141592653588745954e+00,6.666667777303812457e-07,3.333333333332083592e-01,9.999993333332221068e-01
9.999990000000000823e-01,3.141592653588745954e+00,6.666667777303812457e-07,3.333333333332083592e-01,9.999993333332221068e-01
9.999990000000000823e-01,3.141592653588745954e+00,6.666667777303812457e-07,3.333333333332083592e-01,9.999993333332221068e-01
9.999990000000000823e-01,3.141592653588745954e+00,6.666667777303812457e-07,3.333333333332083592e-01,9.999993333332221068e-01
9.999990000000000823e-01,3.141592653588745954e+00,6.666667777303812457e-07,3.333333333332083592e-01,9.999993333332221068e-01
9.999990000000000823e-01,3.141592653588745954e+00,6.666667777303812457e-07,3.333333333332083592e-01,9.999993333332221068e-01
9.999990000000000823e-01,3.141592653588745954e+00,6.666667777303812457e-07,3.333333333332083592e-01,9.999993333332221068e-01
9.999990000000000823e-01,3.141592653588745954e+00,6.666667777303812457e-07,3.333333333332083592e-01,9.999993333332221068e-01
9.999990000000000823e-01,3.141592653588745954e+00,6.666667777303812457e-07,3.333333333332083592e-01,9.999993333332221068e-01
9.999990000000000823e-01,3.141592653588745954e+00,6.666667777303812457e-07,3.333333333332083592e-01,9.999993333332221068e-01
9.999990000000000823e-01,3.141592653588745954e+00,6.666667777303812457e-07,3.333333333332083592e-01,9.999993333332221068e-01
9.999990000000000823e-01,3.141592653588745954e+00,6.666667777303812457e-07,3.333333333332083592e-01,9.999993333332221068e-01
