x,Delta,eta_C,M,T_ratio
7.729006158001163751e-01,3.073235673051539774e+00,1.581524249018923522e-01,3.251923371525154982e-01,8.418475750981078143e-01
7.783612644324711116e-01,3.076863914576949632e+00,1.541636754012839505e-01,3.256235119077506845e-01,8.458363245987160495e-01
7.836421528459438512e-01,3.080259739668075980e+00,1.503164162330561660e-01,3.260271613915158295e-01,8.496835837669437508e-01
7.887530951666278378e-01,3.083442057696057947e+00,1.466023850038585263e-01,3.264055151980957414e-01,8.533976149961415292e-01
7.937030849435201540e-01,3.086427825404385761e+00,1.430140413429153157e-01,3.267605737692892975e-01,8.569859586570847121e-01
7.985003843732544349e-01,3.089232293341226399e+00,1.395444855146049101e-01,3.270941371819385823e-01,8.604555144853951454e-01
8.031526018462737948e-01,3.091869215773083379e+00,1.361873880482924459e-01,3.274078296883662365e-01,8.638126119517076651e-01
8.076667595920339338e-01,3.094351030251145218e+00,1.329369286554974994e-01,3.277031207243539246e-01,8.670630713445024451e-01
8.120493528937374750e-01,3.096689011836494476e+00,1.297877430119983300e-01,3.279813429649355294e-01,8.702122569880016423e-01
8.163064020950755451e-01,3.098893406067246836e+00,1.267348762292558051e-01,3.282437079017161419e-01,8.732651237707442782e-01
8.204434984200524861e-01,3.100973544014923533e+00,1.237737420387079734e-01,3.284913193304091483e-01,8.762262579612920543e-01
8.244658444625491134e-01,3.102937942187659282e+00,1.209000868741207241e-01,3.287251850690756649e-01,8.790999131258792065e-01
8.283782900673877236e-01,3.104794389562532952e+00,1.181099581690365358e-01,3.289462271725218101e-01,8.818900418309634226e-01
8.321853642134842133e-01,3.106550023644420566e+00,1.153996762944464460e-01,3.291552908637118136e-01,8.846003237055536372e-01
8.358913034175949885e-01,3.108211397135312470e+00,1.127658096508519919e-01,3.293531523667007077e-01,8.872341903491480775e-01
8.395000771006170259e-01,3.109784536541863709e+00,1.102051525025336126e-01,3.295405257958614609e-01,8.897948474974662902e-01
8.430154102944602545e-01,3.111274993838368363e+00,1.077147052030577312e-01,3.297180692317180917e-01,8.922852947969421855e-01
8.464408040139290712e-01,3.112687892128722211e+00,1.052916565121121001e-01,3.298863900935174454e-01,8.947083434878878583e-01
8.497795535729483207e-01,3.114027966107075329e+00,1.029333677465366220e-01,3.300460499019355343e-01,8.970666322534635029e-01
8.530347650863885356e-01,3.115299597997246650e+00,1.006373585443763735e-01,3.301975685113921477e-01,8.993626414556237236e-01
8.562093703664774846e-01,3.116506849551168745e+00,9.840129405112298111e-02,3.303414278798196824e-01,9.015987059488771438e-01
8.593061403953415889e-01,3.117653490602906530e+00,9.622297336300549009e-02,3.304780754339774473e-01,9.037770266369944405e-01
8.623276975318210358e-01,3.118743024604582192e+00,9.410031908401372824e-02,3.306079270802127490e-01,9.058996809159863828e-01
8.652765265906804393e-01,3.119778711511155489e+00,9.203136787193438861e-02,3.307313699036412147e-01,9.079686321280655559e-01
8.681549849151510845e-01,3.120763588330887739e+00,9.001426186458291734e-02,3.308487645928679943e-01,9.099857381354170549e-01
8.709653115489626174e-01,3.121700487615716391e+00,8.804724089103856122e-02,3.309604476223946823e-01,9.119527591089614527e-01
8.737096356012578058e-01,3.122592054129513350e+00,8.612863538441523081e-02,3.310667332206191360e-01,9.138713646155848247e-01
8.763899838867527103e-01,3.123440759901281893e+00,8.425685992279827174e-02,3.311679151477207594e-01,9.157431400772018115e-01
8.790082879139232697e-01,3.124248917843827300e+00,8.243040733371721773e-02,3.312642683046222447e-01,9.175695926662829072e-01
8.815663902856827328e-01,3.125018694095739402e+00,8.064784330508792398e-02,3.313560501915591705e-01,9.193521566949122148e-01
8.840660505697530702e-01,3.125752119224923131e+00,7.890780145213548147e-02,3.314435022324981883e-01,9.210921985478645047e-01
8.865089506895978966e-01,3.126451098415072849e+00,7.720897879553602350e-02,3.315268509796658880e-01,9.227910212044641014e-01
8.888966998812332099e-01,3.127117420741875709e+00,7.555013161101128971e-02,3.316063092107450205e-01,9.244498683889886825e-01
8.912308392563623727e-01,3.127752767633072306e+00,7.393007161498603430e-02,3.316820769298052807e-01,9.260699283850140073e-01
8.935128460080029589e-01,3.128358720595544984e+00,7.234766245474595625e-02,3.317543422817509913e-01,9.276523375452538911e-01
8.957441372909958899e-01,3.128936768283009595e+00,7.080181647490718655e-02,3.318232823889487038e-01,9.291981835250927579e-01
8.979260738064617220e-01,3.129488312969561203e+00,6.929149173496770842e-02,3.318890641177097423e-01,9.307085082650322638e-01
9.000599631163187508e-01,3.130014676487019809e+00,6.781568925533026926e-02,3.319518447814560624e-01,9.321843107446696752e-01
9.021470627113709062e-01,3.130517105677630862e+00,6.637345047149321997e-02,3.320117727866377932e-01,9.336265495285066551e-01
9.041885828541534886e-01,3.130996777408081577e+00,6.496385487815461990e-02,3.320689882268217930e-01,9.350361451218454079e-01
9.061856892156656684e-01,3.131454803185843350e+00,6.358601784678748203e-02,3.321236234297803569e-01,9.364139821532124763e-01
9.081395053232825809e-01,3.131892233414523385e+00,6.223908860185764502e-02,3.321758034619086142e-01,9.377609113981423272e-01
9.100511148355002744e-01,3.132310061321073036e+00,6.092224834229022223e-02,3.322256465938408510e-01,9.390777516577096806e-01
9.119215636577067130e-01,3.132709226584296403e+00,5.963470849606923585e-02,3.322732647307414244e-01,9.403652915039307780e-01
9.137518619118559782e-01,3.133090618691134921e+00,5.837570909699974636e-02,3.323187638103918262e-01,9.416242909030002606e-01
9.155429857717540809e-01,3.133455080044506236e+00,5.714451727368020928e-02,3.323622441718815379e-01,9.428554827263199156e-01
9.172958791746056439e-01,3.133803408844149097e+00,5.594042584165034165e-02,3.324038008974340430e-01,9.440595741583497347e-01
9.190114554185240259e-01,3.134136361759807254e+00,5.476275199050001374e-02,3.324435241296517796e-01,9.452372480095000418e-01
9.206905986548550302e-01,3.134454656414179308e+00,5.361083605846105049e-02,3.324814993662369433e-01,9.463891639415389356e-01
9.223341652833902948e-01,3.134758973691485373e+00,5.248404038766962820e-02,3.325178077340608662e-01,9.475159596123303718e-01
9.239429852578592284e-01,3.135049959885890303e+00,5.138174825387997746e-02,3.325525262442659558e-01,9.486182517461200225e-01
9.255178633084486517e-01,3.135328228702769060e+00,5.030336286495617343e-02,3.325857280299319152e-01,9.496966371350439307e-01
9.270595800875424120e-01,3.135594363124593276e+00,4.924830642294798777e-02,3.326174825677019053e-01,9.507516935770521371e-01
9.285688932443508792e-01,3.135848917152098458e+00,4.821601924500189956e-02,3.326478558846261424e-01,9.517839807549981490e-01
